"kudis","[b]ku.dis[/b] [i]n[/i] [b]1[/b] penyakit kulit yg gatal dan menular; [b]2[/b] penyakit kulit yg menular, terutama pd ternak (domba dan sapi), disebabkan oleh sejenis tungau yg hidup di dl kulit, dapat menular pd manusia; [i]Sarcoptes scabiei;;[/i]~[i] menjadi tokak, pb[/i] perkara yg kecil menjadi besar;;[b]ber.ku.dis[/b] [i]v[/i] menderita sakit kudis;;[b]ku.dis.an[/b] [i]v[/i] berkudis; ada kudisnya"
"asmaraloka","[b]as.ma.ra.lo.ka[/b] [i]kl n[/i] dunia (alam) cinta kasih"
"serodok","[b]se.ro.dok ? seruduk"
"siput","[b]si.put[/b] [i]n [/i]binatang moluska, kulitnya berbentuk spiral, banyak macamnya, hidup di darat, di laut, dan dl air tawar, dagingnya dapat dimakan;;~[i] memuji buntut, pb[/i] memuji diri sendiri;;~[b] akik[/b] jenis karang, [i]Helix richmondia[/i]; ~[b] laut[/b] siput yg hidup di laut; kerang"
"mendira","[b]men.di.ra[/b] [i]n[/i] pohon beringin; [i]Ficus benjamina"
"sikedempung","[b]si.ke.dem.pung[/b] [i]n[/i] nama buah"
"ombak","[b]om.bak[/b] [i]n[/i] gerakan air laut yg turun-naik atau bergulung-gulung: ~[i] memecah di pantai;;[/i]~[i] nya kedengaran, pasirnya tidak kelihatan, pb[/i] telah kedengaran beritanya, tetapi belum ada buktinya; ~[i] yg kecil jangan diabaikan, pb[/i] perkara kecil yg mungkin mendatangkan bahaya perlu diperhatikan juga; [i]orang ~ , ki[/i] orang yg tingkah lakunya sangat gelisah (spt orang yg hampir mati);;~[b] pikiran[/b] gerak pikiran atau rasa hati yg tidak tetap (kacau); ~[b] selaba[/b] ombak yg besar (di tengah lautan);;[b]ber.om.bak[/b] [i]v[/i] ada ombaknya; bergelombang: [i]laut pun tiada - ketika itu;;[/i][b]meng.om.bak[/b] [i]v[/i] [b]1[/b] menimbulkan adanya ombak: [i]air danau yg tenang itu - dng seketika;[/i] [b]2[/b] berlekuk-lekuk menyerupai ombak: [i]rambutnya - pd bagian depan"
"kepoh","[b]ke.poh[/b] [i]v,[/i] [b]me.nge.poh.kan[/b] [i]v[/i] menangkis dan mementalkan (pukulan dsb) ke sisi;;[b]ter.ke.poh[/b] [i]v[/i] terdesak (tergelincir) mundur atau menyisi"
"kuntau","[b]kun.tau[/b] [i]n[/i] pencak cara Cina"
"gelak","[b]ge.lak[/b] [i]n[/i] suara tertawa yg keras: [i]terdengar ~ orang berpesta di tengah malam[/i];;~[b] manis[/b] tertawa (tersenyum) manis; ~[b] nabi[/b] [i]ki[/i] senyum mengejek; ~[b] senyum[/b] tersenyum sedikit; ~[b] setan[/b] tertawa keras-keras; ~[b] sumbing[/b] tertawa tidak bersungguh-sungguh;;[b]meng.ge.lak.kan[/b] [i]v[/i] menyebabkan orang tertawa; menertawakan: [i]perbuatan itu dapat ~ semua yg hadir[/i];;[b]ter.ge.lak[/b] [i]v[/i] tertawa: [i]sambil ~ terbahak-bahak, mereka memegang botol dan gelas masing-masing[/i];;[b]ter.ge.lak-ge.lak[/b] [i]v[/i] tertawa keras-keras: [i]krn mendengar cerita adiknya yg lucu, ia tertawa ~"
